state_year,is_after_brady_bill_fed_check_law,has_universal_background_checks,education_attainment,treatnew (21 states),treatyearnew,is_dem_majority,n_pub_mass_shooting_victims,n_pub_mass_shootings,population,unemployed,p_white,p_black,p_asian,p_nativeamerican,p_nonwhite,median_income
Alaska_1994,1,0,25.04,0,0,0,0,0,600624.0,0.04204132,0.71039638,0.028492139999999992,0.035168620000000005,0.19717716000000002,0.28960368,82279
Alaska_1995,1,0,25.55,0,0,0,0,0,601345.0,0.04097895,0.7199142000000001,0.02851374999999999,0.03664610000000001,0.18119380000000002,0.28008584999999997,84925
Alaska_1996,1,0,26.06,0,0,0,0,0,604918.0,0.03991658,0.7294320200000001,0.02853535999999999,0.03812358000000001,0.16521044000000001,0.27056801999999996,91045
Alaska_1997,1,0,26.57,0,0,0,4,1,608846.0,0.03885421,0.7389498400000001,0.028556969999999987,0.039601060000000014,0.14922708,0.26105018999999996,81039
Alaska_1998,1,0,27.08,0,0,0,0,0,615205.0,0.03779184,0.7484676600000001,0.028578579999999985,0.04107854000000002,0.13324372,0.25153235999999995,84451
Alaska_1999,1,0,27.59,0,0,0,0,0,619500.0,0.03672947,0.7579854800000001,0.028600189999999984,0.04255602000000002,0.11726036000000001,0.24201452999999995,83839
Alaska_2000,1,0,28.1,0,0,0,0,0,627963.0,0.0356671,0.7675033,0.0286218,0.0440335,0.101277,0.2324967,83377
Alaska_2001,1,0,25.7,0,0,0,0,0,633714.0,0.0300808,0.765625,0.0327381,0.0427296,0.0779124,0.234375,87996
Alaska_2002,1,0,25.6,0,0,0,0,0,642337.0,0.0380998,0.7621145,0.0263127,0.0466722,0.0825098,0.2378855,79700
Alaska_2003,1,0,24.0,0,0,0,0,0,648414.0,0.0395997,0.7568661,0.0321482,0.0529061,0.085693,0.2431339,76547
Alaska_2004,1,0,25.5,0,0,0,0,0,659286.0,0.040065,0.7693557,0.0369247,0.0536004,0.0655116,0.2306443,79172
Alaska_2005,1,0,28.6,0,0,0,0,0,666946.0,0.0502529,0.6195138,0.020558,0.0373634,0.2478381,0.3804862,77729
