deaths,injuries,date,state,url,year
0,6,"May 20, 1999",Georgia,/wiki/Heritage_High_School_shooting,1999
7,0,"November 2, 1999 8:00 a.m. (HST)",Hawaii,/wiki/1999_Honolulu_shootings,1999
1,5,"August 10, 1999 10:50 a.m. (UTC-7)",California,/wiki/Los_Angeles_Jewish_Community_Center_shooting,1999
8,7,"September 15, 1999",Texas,/wiki/Wedgewood_Baptist_Church_shooting,1999
7,0,"December 26, 2000",Massachusetts,/wiki/Edgewater_Technology_shooting,2000
7,3,"December 28, 2000",Pennsylvania,/wiki/Lex_Street_massacre,2000
5,2,"May 24, 2000; 23 years ago (2000-05-24) 11:00 p.m. (Eastern Daylight Time)",New York,/wiki/Wendy%27s_massacre,2000
5,2,"December 8–15, 2000",Kansas,/wiki/Wichita_Massacre,2000
3,2,"March 1, 2000 c. 11:15 a.m. – 2:15 p.m. (ET)",Pennsylvania,/wiki/2000_Wilkinsburg_shooting,2000
0,5,"March 22, 2001",California,/wiki/Granite_Hills_High_School_shooting,2001
2,13,"March 5, 2001 (2001-03-05) (PST) 9:20 a.m.",California,/wiki/Santana_High_School_shooting,2001
3,3,"January 16, 2002; 21 years ago (2002-01-16) 1 p.m. (EST)",Virginia,/wiki/2002_Appalachian_School_of_Law_shooting,2002
3,5,"July 4, 2002 11:30 a.m. (PDT)",California,/wiki/2002_Los_Angeles_International_Airport_shooting,2002
1,2,"May 9, 2003",Ohio,/wiki/2003_Case_Western_Reserve_University_shooting,2003
1,10,"June 14, 2003  (UTC-7)",Montana,/wiki/2003_Ennis_shootings,2003
7,8,"July 8, 2003 9:30 a.m. – 9:40 a.m.",Mississippi,/wiki/Lockheed_Martin_shooting,2003
1,3,"April 14, 2003 approximately 10:30 a.m. (CDT)",Louisiana,/wiki/2003_John_McDonogh_High_School_shooting,2003
4,0,"November 6, 2003",South Carolina,/wiki/Superbike_murders,2003
5,3,"December 8, 2004; 18 years ago (2004-12-08) 10:20 – 10:23 p.m. EST (UTC−05:00)",Ohio,/wiki/Columbus_nightclub_shooting,2004
4,1,"March 12, 2004",Texas,/wiki/McKinney_quadruple_murder,2004
6,2,"November 21, 2004",Wisconsin,/wiki/Chai_Vang,2004
9,1,"March 12, 2004",California,/wiki/Marcus_Wesson,2004
8,4,"March 12, 2005",Wisconsin,/wiki/Terry_Ratzmann,2005
10,5,"March 21, 2005; 18 years ago (2005-03-21) 2:49 – 2:58 p.m. (UTC-6)",Minnesota,/wiki/Red_Lake_shootings,2005
0,7,"November 20, 2005",Washington,/wiki/Tacoma_Mall_shooting,2005
3,4,"February 24, 2005  (UTC-6)",Texas,/wiki/Tyler_courthouse_shooting,2005
7,2,"March 25, 2006; 17 years ago (2006-03-25)  (PST)",Washington,/wiki/Capitol_Hill_massacre,2006
8,0,"January 30, 2006 (2006-01-30) ~7:15 p.m. (UTC−09)",California,/wiki/Goleta_postal_facility_shootings,2006
7,1,"June 1, 2006",Indiana,/wiki/Hamilton_Avenue_murders,2006
1,5,"July 28, 2006 c. 4:00 p.m.-4:15 p.m. (UTC-7)",Washington,/wiki/Seattle_Jewish_Federation_shooting,2006
6,5,"October 2, 2006; 16 years ago (2006-10-02) c. 10:25 – c. 11:07 a.m.",Pennsylvania,/wiki/West_Nickel_Mines_School_shooting,2006
6,0,"December 24, 2007",Washington,/wiki/2007_Carnation_murders,2007
5,5,"December 9, 2007 (2007-12-09) c. 12:30 a.m.[1] – c. 1:00 p.m.[2]",Colorado,/wiki/2007_Colorado_YWAM_and_New_Life_shootings,2007
7,1,"October 7, 2007 (2007-10-07) c. 2:45 a.m. (CDT)",Wisconsin,/wiki/Crandon_shooting,2007
1,5,"Wednesday, October 10, 2007 c. 1:06 p.m.[1] (EST)",Ohio,/wiki/2007_SuccessTech_Academy_shooting,2007
6,4,"February 12, 2007 (2007-02-12) 6:44 – 6:50 p.m.[1] (MST)",Utah,/wiki/Trolley_Square_shooting,2007
33,23,"April 16, 2007; 16 years ago (2007-04-16) c. 7:15 – 9:51 a.m.[3]: 25  (EDT)",Virginia,/wiki/Virginia_Tech_shooting,2007
9,6,"December 5, 2007 (2007-12-05) 1:43 – 1:49 p.m. CST (UTC−06:00)",Nebraska,/wiki/Westroads_Mall_shooting,2007
6,1,"June 25, 2008 (2008-06-25) c. 12:00 a.m. (CDT)",Kentucky,/wiki/Atlantis_Plastics_shooting,2008
10,3,"December 24, 2008 (2008-12-24) c. 11:30 p.m. (UTC-8)",California,/wiki/Covina_massacre,2008
7,1,"February 7, 2008 (2008-02-07) c. 7:00 p.m. CST[1] (UTC-6)",Missouri,/wiki/Kirkwood_City_Council_shooting,2008
2,7,"July 27, 2008 (2008-07-27)  (EDT)",Tennessee,/wiki/Knoxville_Unitarian_Universalist_church_shooting,2008
5,1,"February 2, 2008 (2008-02-02) c. 10:45 a.m. (UTC-6)",Illinois,/wiki/Lane_Bryant_shooting,2008
6,21,"February 14, 2008; 15 years ago (2008-02-14) c. 3:05 – 3:11 p.m. (CST)",Illinois,/wiki/Northern_Illinois_University_shooting,2008
14,4,"April 3, 2009; 14 years ago (2009-04-03) 10:30 – 10:33 a.m. (EDT)",New York,/wiki/Binghamton_shooting,2009
8,3,"March 29, 2009  (10:00 AM - 10:05 AM.)",North Carolina,/wiki/Carthage_nursing_home_shooting,2009
4,9,"August 4, 2009 (2009-08-04) c. 8:15 p.m. (EDT)",Pennsylvania,/wiki/2009_Collier_Township_shooting,2009
2,3,"January 9, 2009",Illinois,/wiki/Dunbar_Vocational_High_School_shooting,2009
14,33,"November 5, 2009; 13 years ago (2009-11-05) c. 1:34 – c. 1:44 p.m. (CST)",Texas,/wiki/2009_Fort_Hood_shooting,2009
11,6,"March 10, 2009; 14 years ago (2009-03-10) c. 3:30 – 4:17 p.m.[1] (EST)",Alabama,/wiki/Geneva_County_shootings,2009
5,0,"November 29, 2009 (2009-11-29) 8:15 a.m. (UTC-8)",Washington,/wiki/2009_Lakewood_shooting,2009
5,0,"November 11 or 12, 2009  (CST UTC−06:00)",Arkansas,/wiki/Pearcy_murders,2009
3,3,"April 4, 2009 (2009-04-04) 7:03 – c. 11:03 a.m.",Pennsylvania,/wiki/2009_shooting_of_Pittsburgh_police_officers,2009
4,5,7 January 2010 (2010-01-07) c. 6:30 – c. 7:00 a.m. CST (UTC -6),Missouri,/wiki/ABB_plant_shooting,2010
8,0,"January 19–20, 2010 c. 12:00 p.m. EST (UTC -5)",Virginia,/wiki/2010_Appomattox_shootings,2010
9,2,"August 3, 2010 (2010-08-03)",Connecticut,/wiki/Hartford_Distributors_shooting,2010
4,1,"January 12, 2010 (2010-01-12) 2:00 p.m.",Georgia,/wiki/Penske_office_shooting,2010
3,3,"February 12, 2010; 13 years ago (2010-02-12) 4:00 p.m. (CST)",Alabama,/wiki/2010_University_of_Alabama_in_Huntsville_shooting,2010
4,2,"May 20, 2010 (2010-05-20) 11:36 a.m. (CDT)",Arkansas,/wiki/2010_West_Memphis_police_shootings,2010
5,7,"September 6, 2011 (2011-09-06) 8:58 – 9:06 a.m.[1] (UTC-08)",Nevada,/wiki/Carson_City_IHOP_shooting,2011
8,1,"August 7, 2011 (2011-08-07) 10:55 – 11:05 a.m.[1] EST (UTC-05:00)",Ohio,/wiki/2011_Copley_Township_shooting,2011
3,6,"October 5, 2011",California,/wiki/Cupertino_quarry_shooting,2011
8,2,"July 7, 2011 (2011-07-07) c. 2:30 – 11:30 p.m. (EST)",Michigan,/wiki/2011_Grand_Rapids_shootings,2011
8,1,"October 12, 2011 c. 1:21 pm",California,/wiki/2011_Seal_Beach_shooting,2011
3,2,"December 16, 2011 (2011-12-16) 1:30 pm (Pacific Time)",California,/wiki/Southern_California_Edison_shooting,2011
6,15,"January 8, 2011; 12 years ago (2011-01-08) 10:10 a.m. MST (UTC−07:00)",Arizona,/wiki/2011_Tucson_shooting,2011
12,70,"July 20, 2012 (2012-07-20) c. 12:38 – c. 12:45 a.m.[1] (MDT UTC−06:00)",Colorado,"/wiki/2012_Aurora,_Colorado_shooting",2012
4,4,"October 21, 2012 (2012-10-21) 11:09 – 11:22 a.m. (CDT)",Wisconsin,/wiki/Azana_Spa_shooting,2012
3,3,"February 27, 2012 (2012-02-27) c. 7:30 a.m. (EST)",Ohio,/wiki/2012_Chardon_High_School_shooting,2012
3,4,"August 13, 2012 (2012-08-13) c. 12:11 – 12:35 p.m.",Texas,/wiki/2012_College_Station_shooting,2012
2,9,"August 24, 2012 (2012-08-24) 9:03 a.m. (EDT) (UTC-04:00)",New York,/wiki/2012_Empire_State_Building_shooting,2012
5,0,"May 2, 2012",Arizona,/wiki/2012_Gilbert_shooting,2012
7,2,"September 27, 2012 (2012-09-27) 4:30 – c. 4:35 p.m. (ET)",Minnesota,/wiki/Minneapolis_firm_shooting,2012
7,3,"April 2, 2012 (2012-04-02) c. 10:30 – 10:33 a.m.[1] (PDT)",California,/wiki/2012_Oikos_University_shooting,2012
4,0,"May 2, 2012",Arizona,/wiki/J._T._Ready,2012
28,2,"December 14, 2012; 10 years ago (2012-12-14) c. 9:35 – c. 9:40 a.m.[1][2][3] EST (UTC−05:00)",Connecticut,/wiki/Sandy_Hook_Elementary_School_shooting,2012
6,1,"May 30, 2012 (2012-05-30) 10:57 a.m.[1] (PDT)",Washington,/wiki/2012_Seattle_caf%C3%A9_shootings,2012
4,3,"December 24, 2012 (2012-12-24) c. 5:30 – c. 11:00 a.m. (EST)",New York,/wiki/2012_Webster_shooting,2012
8,3,"August 5, 2012 (2012-08-05) 10:25 a.m. (CDT)",Wisconsin,/wiki/Wisconsin_Sikh_temple_shooting,2012
2,6,"December 28, 2013",Alabama,/wiki/Doe_B,2013
5,2,"March 13, 2013 (2013-03-13)  (UTC-04)",New York,/wiki/Herkimer_County_shootings,2013
7,0,"July 26–27, 2013 c. 6:30 p.m. – c. 2:30 a.m.",Florida,/wiki/2013_Hialeah_shooting,2013
1,7,"November 1, 2013 (2013-11-01) c. 9:18 – 9:25 a.m.[1][2] (PST)",California,/wiki/2013_Los_Angeles_International_Airport_shooting,2013
3,4,"August 5, 2013",Pennsylvania,/wiki/Ross_Township_Municipal_Building_shooting,2013
5,0,"January 19, 2013 (2013-01-19)",New Mexico,/wiki/2013_South_Valley_homicides,2013
13,8,"September 16, 2013; 9 years ago (2013-09-16) 8:16 – 9:25 a.m.[1][2] (EDT)",Washington,/wiki/Washington_Navy_Yard_shooting,2013
4,14,"April 2, 2014 (2014-04-02) c. 4:00 – c. 4:08 p.m.[1] (CDT)",Texas,/wiki/2014_Fort_Hood_shootings,2014
6,1,"July 9, 2014 (2014-07-09)",Texas,/wiki/2014_Harris_County_shooting,2014
5,3,"October 24, 2014 (2014-10-24) 10:39 – 10:42 a.m. (PDT)",Washington,/wiki/2014_Marysville_Pilchuck_High_School_shooting,2014
7,1,"Shootings: December 15, 20143:30 a.m. – 5:30 a.m.[1]Manhunt: December 15–16, 20145:30 a.m. – 1:30 p.m.[2]",Pennsylvania,/wiki/2014_Montgomery_County_shootings,2014
0,4,"December 12, 2014",Oregon,/wiki/Rosemary_Anderson_High_School_shooting,2014
9,1,"June 17, 2015",South Carolina,/wiki/Charleston_church_shooting,2015
6,2,"July 16, 2015 (2015-07-16) c. 10:45 – c. 11:15 a.m.[1]",Tennessee,/wiki/2015_Chattanooga_shootings,2015
3,9,"November 27, 2015 (2015-11-27) c. 11:38 a.m. – 4:52 p.m. (MST)",Colorado,/wiki/Colorado_Springs_Planned_Parenthood_shooting,2015
8,0,"August 8, 2015 (2015-08-08) c. 10:30 a.m. – c. 9:00 p.m.",Texas,/wiki/2015_Harris_County_shooting,2015
3,9,"July 23, 2015; 7 years ago (2015-07-23) 7:27 p.m. (CDT)",Louisiana,/wiki/2015_Lafayette_shooting,2015
1,3,"October 9, 2015; 7 years ago (2015-10-09) 1:20 a.m. (MST (UTC−6))",Arizona,/wiki/2015_Northern_Arizona_University_shooting,2015
16,24,"December 2, 2015; 7 years ago (2015-12-02) 10:58 a.m. – 3:14 p.m. (PST)",California,/wiki/2015_San_Bernardino_attack,2015
